Nodes,Execution_Time_CUDA,Execution_Time_Serial
3,0.000039,0.000004
4,0.000021,0.000005
5,0.000020,0.000007
6,0.000023,0.000014
7,0.000022,0.000034
8,0.000043,0.000108
9,0.000046,0.000377
10,0.000162, 0.001569
11,0.001543,0.005524
12,0.018341,0.016696
13,0.225360,0.055953
14,0.403661 ,0.266343
15,0.539362,1.095573
16,0.661198,5.894770
17,0.703940,26.892775
18,1.407880,82.153411
19,2.815760,511.470190
20,5.631520
21,11.263040
22,22.526080
23,45.052160 
24,90.104320
25,180.208640
26,360.417280
27,720.834560
