Nodes,Execution_Time_CUDA,Execution_Time_Serial
4,1.023e-06,0.000008
5,2.773e-06,0.000014
6,7.472e-06,0.000031
7,2.0772e-05 ,0.000080
8,5.479e-05,0.000203
9,0.000254195,0.000424
10,0.000346224 ,0.000959
11,0.000860431,0.002202
12,0.00205667,0.004654
13,0.00478523,0.008088
14,0.0114477,0.021587
15,0.0265484,0.073654
16,0.0650195,0.181658
17,0.164437,0.583788
18,0.375428,1.531165
19,0.998055,3.549083
20,2.504,7.900504
21, 5.008000,15.801008
22,10.016000,31.602016
23,20.032000 ,63.204032
24, 40.064000 ,126.408064
25,80.128000,252.816128
26,160.256000,505.632256
27,320.512000,1011.264512
28,641.024000,2022.529024
29,1282.048000,4045.058048
30,2564.096000,8090.116096
