Nodes,Threads,Execution_Time,Schedule_Type
4,1,0.000111,static
6,1,0.000423,static
8,1,0.001790,static
10,1,0.005795,static
12,1,0.029691,static
14,1,0.148869,static
16,1,0.797005,static
18,1,4.231135,static
20,1,19.043469,static
4,2,0.000242,static
4,2,0.000275,dynamic
4,2,0.000312,guided
4,4,0.001148,static
4,4,0.000762,dynamic
4,4,0.001241,guided
4,6,0.001045,static
4,6,0.001926,dynamic
4,6,0.001088,guided
4,8,0.007266,static
4,8,0.008813,dynamic
4,8,0.007366,guided
6,2,0.000314,static
6,2,0.000381,dynamic
6,2,0.000375,guided
6,4,0.001220,static
6,4,0.001289,dynamic
6,4,0.001096,guided
6,6,0.001930,static
6,6,0.002065,dynamic
6,6,0.001747,guided
6,8,0.011001,static
6,8,0.008432,dynamic
6,8,0.009338,guided
8,2,0.000797,static
8,2,0.001893,dynamic
8,2,0.001380,guided
8,4,0.002550,static
8,4,0.001811,dynamic
8,4,0.002812,guided
8,6,0.004270,static
8,6,0.008096,dynamic
8,6,0.002216,guided
8,8,0.009249,static
8,8,0.011677,dynamic
8,8,0.010585,guided
10,2,0.007565,static
10,2,0.006430,dynamic
10,2,0.006956,guided
10,4,0.010089,static
10,4,0.010945,dynamic
10,4,0.012144,guided
10,6,0.016247,static
10,6,0.016685,dynamic
10,6,0.014554,guided
10,8,0.023985,static
10,8,0.020811,dynamic
10,8,0.024547,guided
12,2,0.031346,static
12,2,0.035917,dynamic
12,2,0.032018,guided
12,4,0.038596,static
12,4,0.042937,dynamic
12,4,0.040708,guided
12,6,0.048275,static
12,6,0.053814,dynamic
12,6,0.047839,guided
12,8,0.053383,static
12,8,0.058285,dynamic
12,8,0.057554,guided
14,2,0.181290,static
14,2,0.278866,dynamic
14,2,0.157682,guided
14,4,0.186259,static
14,4,0.209306,dynamic
14,4,0.187033,guided
14,6,0.190395,static
14,6,0.219543,dynamic
14,6,0.207728,guided
14,8,0.217223,static
14,8,0.243990,dynamic
14,8,0.222257,guided
16,2,0.771337,static
16,2,0.895346,dynamic
16,2,0.992170,guided
16,4,1.130552,static
16,4,1.219535,dynamic
16,4,1.123184,guided
16,6,1.110464,static
16,6,1.243033,dynamic
16,6,1.316544,guided
16,8,1.097473,static
16,8,1.255170,dynamic
16,8,1.149334,guided
18,2,4.635068,static
18,2,4.899970,dynamic
18,2,4.170433,guided
18,4,4.491187,static
18,4,5.121896,dynamic
18,4,4.423098,guided
18,6,5.408825,static
18,6,6.613788,dynamic
18,6,5.875335,guided
18,8,6.206230,static
18,8,7.155745,dynamic
18,8,6.354542,guided
20,2,20.028401,static
20,2,23.037204,dynamic
20,2,16.923173,guided
20,4,21.707675,static
20,4,24.184011,dynamic
20,4,19.406006,guided
20,6,24.143733,static
20,6,27.592716,dynamic
20,6,26.433963,guided
20,8,30.285800,static
20,8,35.847563,dynamic
20,8,32.114906,guided
